P3_1,76157088
P3_2,76157088
P3_3,76157088
NIV,76157088
GRA,76157088
P3_5,76157088
P3_6,26692237
P3_7,55082196
P3_8_1,51782680
P3_8_2,49603540
P3_9,49603540
P3_10,55082196
P3_11,76157088
P3_12,57059863
P4_1,76157088
P4_2,27870251
P4_3,76157088
P4_4_1,68089536
P4_4_2,68089536
P4_4_3,68089536
P4_4_4,68089536
P4_4_5,68089536
P4_4_6,68089536
P4_4_7,68089536
P4_5,76157088
P4_6_1,50378943
P4_6_2,50378943
P4_6_3,50378943
P4_6_4,50378943
P4_6_5,50378943
P4_7_1,50378943
P4_7_2,50378943
P4_7_3,50378943
P4_7_4,50378943
P4_7_5,50378943
P4_7_6,50378943
P4_8,76157088
P5_1_1,46744765
P5_1_2,46744765
P5_1_3,46744765
P5_1_4,46744765
P5_1_5,46744765
P5_1_6,46744765
P5_2_1,46744765
P5_2_2,46744765
P5_2_3,46744765
P5_2_4,46744765
P5_2_5,46744765
P5_2_6,46744765
P5_2_7,46744765
P5_2_8,46744765
P5_3,76157088
P5_4,76157088
P5_5,42604135
P5_6,31571303
P5_7_1,3554599
P5_7_2,3554599
P5_7_3,3554599
P5_7_4,3554599
P5_7_5,3554599
P5_7_6,3554599
P5_8_1,11032832
P5_8_2,11032832
P5_8_3,11032832
P5_8_4,11032832
P5_8_5,11032832
P5_8_6,11032832
P5_8_7,11032832
P5_9,33552953
P5_10_1,5771896
P5_10_2,5771896
P5_10_3,5771896
P5_10_4,5771896
P5_11_1,33552953
P5_11_2,24132148
P5_11_3,24132148
P5_11_4,24132148
P5_11_5,24132148
P5_11_6,24132148
P5_12_1,33552953
P5_12_2,24132148
P5_12_3,24132148
P5_12_4,24132148
P5_12_5,24132148
P5_12_6,24132148
P5_13_1,33552953
P5_13_2,24132148
P5_13_3,24132148
P5_13_4,24132148
P5_13_5,24132148
P5_13_6,24132148
P5_14_1,33552953
P5_14_2,9420805
P5_14_3,9420805
P5_14_4,9420805
P5_14_5,9420805
P5_14_6,9420805
P5_15_1,33552953
P5_15_2,9420805
P5_15_3,9420805
P5_15_6,9420805
P5_16_1,33552953
P5_16_2,9420805
P5_16_3,9420805
P5_16_4,9420805
P5_16_5,9420805
P5_16_6,9420805
P5_17_1,14540912
P5_17_2,14540912
P5_17_3,14540912
P5_17_4,14540912
P5_17_5,14540912
P5_17_6,14540912
P5_17_7,14540912
P5_17_8,14540912
P5_17_9,14540912
P5_18,20991539
P5_19,9790616
P5_20,912210
P5_21,28069526
P5_22,13858797
P5_23,14210729
P5_24,8693316
P5_25_1,33552953
P5_25_2,33552953
P5_26_1,5435722
P5_26_2,3203662
P5_27_1_1,5435722
P5_27_1_2,5435722
P5_27_1_3,5435722
P5_27_1_4,5435722
P5_27_1_5,5435722
P5_27_1_6,5435722
P5_27_1_7,5435722
P5_27_1_8,5435722
P5_27_2_1,3203662
P5_27_2_2,3203662
P5_27_2_3,3203662
P5_27_2_4,3203662
P5_27_2_5,3203662
P5_27_2_6,3203662
P5_27_2_7,3203662
P5_27_2_8,3203662
P5_28_1,4929649
P5_28_2,2883983
P5_29_1,665829
P5_29_2,430769
